trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
232,False,"{'a': 0.5, 'e': 0.31257535494124167}",35,20,-5.023192231606653,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.3110124781665355}",25,0,17.490481753991748,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.3094574157757028}",20,1,10.67601261615797,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.30791012869682427}",20,0,-53.25711426004755,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.30637057805334017}",25,0,41.03244611348961,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.3048387251630735}",30,13,22.10687356227268,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.30331453153725807}",30,12,-36.05278843439066,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
239,False,"{'a': 0.5, 'e': 0.3017979588795718}",30,18,3.9957593377851817,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.30028896908517394}",20,0,9.206557126427736,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.2987875242397481}",20,1,6.7008778028780105,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.2972935866185493}",30,18,7.401496475143908,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.29580711868545656}",20,7,17.400924176208306,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.2943280830920293}",20,7,-15.958595827952575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
245,False,"{'a': 0.5, 'e': 0.29285644267656913}",30,22,17.59450882489054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.2913921604631863}",30,14,-57.438536045359484,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
247,False,"{'a': 0.5, 'e': 0.2899351996608704}",20,2,-13.320396173361988,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.288485523662566}",35,6,-38.07052096603097,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.2870430960442532}",20,0,-64.26023029113546,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
250,False,"{'a': 0.5, 'e': 0.2856078805640319}",20,0,12.057271142258077,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.28417984116121175}",20,0,-35.57881539531745,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
252,False,"{'a': 0.5, 'e': 0.2827589419554057}",30,0,18.053834609057784,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.28134514724562865}",25,6,-31.966771385302003,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.2799384215094005}",20,16,7.073230870633188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.27853872940185354}",20,12,-29.876105902727314,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.27714603575484426}",20,5,3.1371797682392426,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.27576030557607}",20,8,1.1857874899062226,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.2743815040481897}",20,0,-1.7254610921927678,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.2730095965279487}",20,16,6.042154636878462,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.271644548545309}",25,9,-15.818311392355026,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.27028632580258244}",25,0,3.7255960217328035,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.2689348941735695}",30,17,-0.28790619395615047,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2675902197027017}",30,12,30.84303256921671,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
